"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","base_learning_rate","batch_size","batch_size_per_gpu","dataset","device","effective_batch_size","epochs","hardware","learning_rate","nodes","scaling_strategy","total_gpus","total_params","warmup_epochs","acc","batch","batch_loss","elapsed_time_minutes","epoch","epoch_duration_minutes","loss","progress_percentage","running_accuracy","total_elapsed_minutes","train_accuracy","train_loss","val_accuracy","val_loss"
"Eight Node Run 2.1","finished","-","","","2025-07-10T15:27:53.000Z","313","","vit_b_16","0.001","","18","","","1152","15","","0.004","8","conservative_square_root","64","","2","68.370607028754","60","0.0007762357708998024","4.9336163878440855","14","0.2792743921279907","0.0026569928583090327","100","100","5.000023110707601","100","0.0026569928583090327","68.370607028754",""
"Four Node Run 2.2","failed","-","","","2025-07-10T15:27:53.000Z","269","","vit_b_16","0.001","","24","","","768","12","","0.002","4","conservative_linear","32","","1","74.24","10","0.0034956245217472315","4.370057205359141","9","0.4259907325108846","0.0066078814170655925","75","100","4.308312265078227","100","0.0066078814170655925","74.24",""
"Eight Node Run 2.0","finished","-","","","2025-07-10T14:48:20.000Z","196","","vit_b_16","0.001","","16","","","1024","6","","0.003","8","conservative_square_root","64","","1","53.35463258785943","70","1.235979080200195","2.060910586516062","5","0.28918612003326416","1.4170172447220812","100","63.028169014084504","2.1260984500249225","63.6","1.4170172447220812","53.35463258785943",""
"Four Node Run 2.1","failed","-","","","2025-07-10T14:28:56.000Z","185","","vit_b_16","0.001","","24","","","768","8","","0.002","4","conservative_linear","32","","1","68.48","0","0.4237495362758637","2.937379276752472","6","0.42058320840199787","0.520768205927951","75","87.5","2.909802730878194","89.04","0.520768205927951","68.48",""
"Four Node Run 2.0","failed","-","","","2025-07-10T14:18:47.000Z","184","","vit_b_16","0.001","","24","","","768","8","","0.002","4","conservative_linear","32","","1","","0","2.069758176803589","","6","","","","41.666666666666664","","38.44","2.6350829283396404","31.84",""
"Sixteen Node Run","crashed","-","","","2025-07-10T13:58:33.000Z","286","","vit_b_16","","","","","","","10","","0.001","16","","128","","","9.554140127388536","","","","","","4.477028048038482","","","","","","",""
"Eight Node Run","finished","-","","","2025-07-10T13:58:32.000Z","231","","vit_b_16","","","","","","","10","","0.001","8","","64","","","27.476038338658142","","","","","","2.8918539211153984","","","","","","",""
"Four Node Run","finished","-","","","2025-07-10T13:32:40.000Z","303","","vit_b_16","","","","","","","10","","0.001","","","","","","39.36","","","","","","1.7062983394989484","","","","","","",""
"Two Node Run","finished","-","","","2025-07-10T11:49:00.000Z","511","","vit_b_16","","","","","","","10","","0.001","","","","","","47.92","","","","","","0.9790601401951662","","","","","","",""
"Single Node Run","finished","-","","","2025-07-09T11:13:07.000Z","960","","vit_b_16","","","","","","","10","","0.001","","","","","","42.56","","","","","","0.8705576981028048","","","","","","",""
